London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
42,City of London,E09000001,City of London,8.4,23.7,-19.4,15.1,8.6,17.2,5.6,10.3,11.8,8.1,29.2,-9.5,0
136,Westminster,E05000649,West End,4.6,8.2,-4.3,-0.7,5.9,-8.6,3,-2.6,7.5,7.6,30.1,-7.4,16.1
494,Westminster,E05000648,Westbourne,-5.1,-12.2,-14.9,-38.3,-12.6,-6.1,7.8,13.2,-2.9,-27.3,8.1,8.2,15.5
114,Westminster,E05000647,Warwick,5.5,14.4,-4.3,-3.7,3.8,2.9,9,6.1,-2.2,-5.7,24.6,5.1,16.1
92,Westminster,E05000646,Vincent Square,6.3,6.3,-6.3,-11.4,2.9,10.8,6.9,9.4,8.7,-4.7,22.4,14,16.1
135,Westminster,E05000645,Tachbrook,4.6,12.2,-13.3,-0.4,7.2,-4.2,5.8,1.7,4.6,-5.6,19.9,11.3,16.1
113,Westminster,E05000644,St James's,5.6,12.9,-10.2,-5.7,-2.3,0.6,3.4,7.1,8.2,-1.7,27.3,11.9,16.1
53,Westminster,E05000643,Regent's Park,7.8,19.1,-5.2,-0.9,8.2,1.3,9.5,11,-4.7,4.9,10.3,24.8,15.5
502,Westminster,E05000642,Queen's Park,-5.3,-4.8,-15.3,-17,-24.3,-2.1,11.4,6.2,-3.1,-22.3,9,-17.2,15.5
44,Westminster,E05000641,Marylebone High Street,8.4,17,-11.1,15,11.5,0.5,9.2,12.8,1.7,5.6,28.3,-2.7,12.8
194,Westminster,E05000640,Maida Vale,2.6,11,-9.3,-4.3,1.3,-10.6,4.7,9.9,2.6,-12.5,10.1,13.1,15.5
234,Westminster,E05000639,Little Venice,1.7,8.2,-5.9,-4.4,5.4,-9.2,9.2,0.6,-10.5,-2.3,13.4,0.5,15.5
130,Westminster,E05000638,Lancaster Gate,4.7,20.5,-6.1,7.9,5.5,-30.7,9.7,20.9,-11.5,3.2,27.7,-3.2,12.8
1,Westminster,E05000637,Knightsbridge and Belgravia,17.2,40.7,-11.1,25.1,14,1.3,11.4,33.2,18.2,18.7,20.4,18.5,16.1
126,Westminster,E05000636,Hyde Park,4.9,10.1,6.4,5.7,6.6,1.4,11.4,-1.1,-30,4.6,30.1,1.5,12.8
466,Westminster,E05000635,Harrow Road,-4.4,-4.3,-16.3,-23.1,-16,-6.6,11.4,8.8,-1,-18.3,13.9,-16.9,15.5
537,Westminster,E05000634,Church Street,-6.1,-0.4,-15.4,-44,-21.2,-1.8,3.7,2.2,-7.2,-25.7,21,0.2,15.5
444,Westminster,E05000633,Churchill,-3.8,8,-15.6,-18,-4.3,-23.2,6.8,-3.2,-8.6,-18.5,8.2,6.8,16.1
147,Westminster,E05000632,Bryanston and Dorset Square,4.2,21.6,-33.1,8.9,4.7,-6.1,9.5,9.9,-3.5,6.6,30.2,-10.5,12.8
154,Westminster,E05000631,Bayswater,3.9,15.3,-2.3,-5.3,2.8,-21.7,11.4,10,-6.1,5.3,19.6,4.9,12.8
57,Westminster,E05000630,Abbey Road,7.7,30.4,-9.8,11.8,8.5,2.9,7.3,-2.6,8.1,10.6,11.3,-1.6,15.5
297,Wandsworth,E05000629,West Putney,0,0.6,-5.5,2.2,4,-2.3,6.8,-2.1,-4.5,-0.2,-7.7,-6.7,15.3
183,Wandsworth,E05000628,West Hill,2.9,-4.4,1.4,10.4,1.5,3.5,7.2,7.6,4.5,-3,-6.9,-1.8,15.3
192,Wandsworth,E05000627,Wandsworth Common,2.7,-2,4.7,12.2,9.2,-3.1,-13.4,8.4,8.3,12,-7.6,5,-1.9
213,Wandsworth,E05000626,Tooting,2.3,0.3,-3.9,9.6,-1.4,1.4,7.3,6.8,6.2,-5.9,9.5,-1,-1.9
11,Wandsworth,E05000625,Thamesfield,10.7,21.4,14.6,18.4,11.4,-11.3,11.4,11.7,10,14.1,5.4,5.8,15.3
85,Wandsworth,E05000624,Southfields,6.4,9.4,3.5,14.6,7.4,-5.4,5.8,14.3,12.4,6.7,-0.5,-6.4,15.3
327,Wandsworth,E05000623,Shaftesbury,-1.2,2.2,-15,7.3,7,-17.3,6.6,-0.7,3,4,12.5,-14.2,-9.5
